what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367194684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367196958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367198921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367203853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367206723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367221842
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367223566
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367224049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367232452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367234278
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1331367240531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331367240641
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1331367242256
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331367242563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367242977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367263643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367269869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367277682
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367284694
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1331367287678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331367287752
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1331367288675
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331367288983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367292772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367298459
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367302826
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367303372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367307022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367369755
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367380564
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367386908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367392388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367406103
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367408105
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367408295
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367408476
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367408636
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367411385
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367411617
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367411708
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367411891
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367412117
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367413304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331367417856
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1331367418896
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331367419205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367423147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367460007
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367468804
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1331367481242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367508941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367514261
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1331367516993
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331367517305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367518794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331367522931
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367523933
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331367524492
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331367535582
